actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other
pdf,0.577247,0.000000,0.161985,0.002575,0.000000,0.000702,0.192416,0.000702,0.046816,0.012406,0.005150
html,0.000534,0.848558,0.000000,0.006410,0.113782,0.000000,0.000000,0.020032,0.000000,0.002404,0.008280
jpg,0.058489,0.000000,0.783644,0.002588,0.000000,0.001035,0.130435,0.000518,0.021222,0.000000,0.002070
doc,0.032913,0.004202,0.038515,0.629552,0.018908,0.171569,0.089636,0.003501,0.009804,0.000700,0.000700
txt,0.000000,0.034058,0.000000,0.002174,0.876812,0.000000,0.000000,0.008696,0.000000,0.029710,0.048551
xls,0.002874,0.000958,0.009579,0.067050,0.001916,0.892720,0.017241,0.000958,0.001916,0.000000,0.004789
ppt,0.128889,0.000000,0.183333,0.031111,0.000000,0.034444,0.563333,0.000000,0.043333,0.002222,0.013333
xml,0.000000,0.086478,0.000000,0.015723,0.028302,0.000000,0.000000,0.869497,0.000000,0.000000,0.000000
gif,0.099359,0.000000,0.073718,0.003205,0.000000,0.001603,0.091346,0.000000,0.724359,0.000000,0.006410
ps,0.032258,0.000000,0.000000,0.024194,0.010753,0.000000,0.002688,0.000000,0.000000,0.927419,0.002688
other,0.077882,0.015576,0.079439,0.010125,0.105919,0.014019,0.164330,0.010903,0.027259,0.040498,0.454050
