actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other,random_noise
pdf,0.387172,0.000468,0.115169,0.001639,0.000702,0.000234,0.013109,0.003745,0.280431,0.021770,0.014045,0.161517
html,0.002671,0.634081,0.000000,0.027511,0.150908,0.001068,0.000000,0.098024,0.000000,0.022436,0.063301,0.000000
jpg,0.038820,0.000000,0.490683,0.002070,0.000000,0.000000,0.026398,0.001553,0.273292,0.000000,0.004658,0.162526
doc,0.018908,0.004202,0.036415,0.717787,0.050420,0.013305,0.050420,0.009104,0.054622,0.004202,0.016106,0.024510
txt,0.000000,0.017391,0.000000,0.005072,0.706522,0.002174,0.000000,0.026812,0.000000,0.110145,0.131884,0.000000
xls,0.003831,0.000958,0.003831,0.272989,0.005747,0.657088,0.015326,0.001916,0.021073,0.002874,0.010536,0.003831
ppt,0.072222,0.000000,0.143333,0.056667,0.003333,0.012222,0.331111,0.000000,0.252222,0.003333,0.010000,0.115556
xml,0.000000,0.034591,0.000000,0.022013,0.015723,0.000000,0.000000,0.874214,0.000000,0.028302,0.025157,0.000000
gif,0.041667,0.000000,0.043269,0.001603,0.000000,0.001603,0.006410,0.000000,0.852564,0.000000,0.001603,0.051282
ps,0.018817,0.000000,0.000000,0.000000,0.010753,0.000000,0.000000,0.000000,0.000000,0.892473,0.077957,0.000000
other,0.038941,0.000779,0.044393,0.017134,0.098910,0.009346,0.021028,0.026480,0.181464,0.050623,0.427570,0.083333
random_noise,0.023220,0.000000,0.089783,0.000000,0.000000,0.000000,0.001548,0.000000,0.351393,0.000000,0.000000,0.534056
